Conference	Year	Name	Authors	Citations	Publication	URL
International Conference on Software Engineering	2010	Quality of service profiling	S Misailovic, S Sidiroglou, H Hoffmann, M Rinard	114	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 25-34	http://scholar.google.com/scholar?oi=bibs&cluster=9436858249398145834&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	How do programmers ask and answer questions on the web?: NIER track	C Treude, O Barzilay, MA Storey	106	Software Engineering (ICSE), 2011 33rd International Conference on, 804-807	http://scholar.google.com/scholar?oi=bibs&cluster=13747505852671402131&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Oracle-guided component-based program synthesis	S Jha, S Gulwani, S Seshia, A Tiwari	106	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 215-224	http://scholar.google.com/scholar?oi=bibs&cluster=9051776184700795776&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	A systematic study of automated program repair: Fixing 55 out of 105 bugs for $8 each	C Le Goues, M Dewey-Vogt, S Forrest, W Weimer	104	Software Engineering (ICSE), 2012 34th International Conference on, 3-13	http://scholar.google.com/scholar?oi=bibs&cluster=6785866307368950273&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Model-driven engineering practices in industry	J Hutchinson, M Rouncefield, J Whittle	103	Software Engineering (ICSE), 2011 33rd International Conference on, 633-642	http://scholar.google.com/scholar?oi=bibs&cluster=18257651038271844644&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Characterizing and predicting which bugs get fixed: an empirical study of Microsoft Windows	PJ Guo, T Zimmermann, N Nagappan, B Murphy	102	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 495-504	http://scholar.google.com/scholar?oi=bibs&cluster=973052665716791652&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Using information fragments to answer the questions developers ask	T Fritz, GC Murphy	98	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 175-184	http://scholar.google.com/scholar?oi=bibs&cluster=11167771243090194339&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	A machine learning approach for tracing regulatory codes to product specific requirements	J Cleland-Huang, A Czauderna, M Gibiec, J Emenecker	97	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 155-164	http://scholar.google.com/scholar?oi=bibs&cluster=13096979462523357007&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Run-time efficient probabilistic model checking	A Filieri, C Ghezzi, G Tamburrelli	95	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=343739290850542111&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	A framework for automated testing of javascript web applications	S Artzi, J Dolby, SH Jensen, A Moller, F Tip	92	Software Engineering (ICSE), 2011 33rd International Conference on, 571-580	http://scholar.google.com/scholar?oi=bibs&cluster=15547938058736210677&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Where should the bugs be fixed? More accurate information retrieval-based bug localization based on bug reports	J Zhou, H Zhang, D Lo	91	Software Engineering (ICSE), 2012 34th International Conference on, 14-24	http://scholar.google.com/scholar?oi=bibs&cluster=12580711588670067721&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Portfolio: finding relevant functions and their usage	C McMillan, M Grechanik, D Poshyvanyk, Q Xie, C Fu	86	Software Engineering (ICSE), 2011 33rd International Conference on, 111-120	http://scholar.google.com/scholar?oi=bibs&cluster=7685990229388301306&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Code bubbles: rethinking the user interface paradigm of integrated development environments	A Bragdon, SP Reiss, R Zeleznik, S Karumuri, W Cheung, J Kaplan, ...	85	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 455-464	http://scholar.google.com/scholar?oi=bibs&cluster=1287113017139469664&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Software systems as cities: a controlled experiment	R Wettel, M Lanza, R Robbes	84	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=5529217241083962213&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Requirements reflection: requirements as runtime entities	N Bencomo, J Whittle, P Sawyer, A Finkelstein, E Letier	80	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 2, 199-202	http://scholar.google.com/scholar?oi=bibs&cluster=8056640792569212286&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Awareness 2.0: staying aware of projects, developers and tasks using dashboards and feeds	C Treude, MA Storey	79	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 365-374	http://scholar.google.com/scholar?oi=bibs&cluster=5036892160004376331&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Taming reflection: Aiding static analysis in the presence of reflection and custom class loaders	E Bodden, A Sewe, J Sinschek, H Oueslati, M Mezini	77	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=827995042948212064&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	On the naturalness of software	A Hindle, ET Barr, Z Su, M Gabel, P Devanbu	77	Software Engineering (ICSE), 2012 34th International Conference on, 837-847	http://scholar.google.com/scholar?oi=bibs&cluster=8416026217237551830&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Syde: a tool for collaborative software development	L Hattori, M Lanza	73	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 2, 235-238	http://scholar.google.com/scholar?oi=bibs&cluster=11017188414713025960&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Falcon: fault localization in concurrent programs	S Park, RW Vuduc, MJ Harrold	73	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 245-254	http://scholar.google.com/scholar?oi=bibs&cluster=16514460128663006996&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Non-essential changes in version histories	D Kawrykow, MP Robillard	73	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=9421643787657949810&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2013	Automatic patch generation learned from human-written patches	D Kim, J Nam, J Song, S Kim	70	Proceedings of the 2013 International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=9364097885708520424&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Test generation through programming in UDITA	M Gligoric, T Gvero, V Jagannath, S Khurshid, V Kuncak, D Marinov	70	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 225-234	http://scholar.google.com/scholar?oi=bibs&cluster=18344120498470472060&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Linking e-mails and source code artifacts	A Bacchelli, M Lanza, R Robbes	70	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 375-384	http://scholar.google.com/scholar?oi=bibs&cluster=5130492066000626879&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	A search engine for finding highly relevant applications	M Grechanik, C Fu, Q Xie, C McMillan, D Poshyvanyk, C Cumby	69	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 475-484	http://scholar.google.com/scholar?oi=bibs&cluster=17374238077629420711&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Organizing self-organizing teams	R Hoda, J Noble, S Marshall	69	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 285-294	http://scholar.google.com/scholar?oi=bibs&cluster=15620105825991402757&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Developers ask reachability questions	TD LaToza, B Myers	67	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 185-194	http://scholar.google.com/scholar?oi=bibs&cluster=9114328729066172079&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2013	SemFix: program repair via semantic analysis	HDT Nguyen, D Qi, A Roychoudhury, S Chandra	66	Proceedings of the 2013 International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=3142792753566531435&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	On-demand feature recommendations derived from mining public product descriptions	H Dumitru, M Gibiec, N Hariri, J Cleland-Huang, B Mobasher, ...	65	Software Engineering (ICSE), 2011 33rd International Conference on, 181-190	http://scholar.google.com/scholar?oi=bibs&cluster=10876385828050580664&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Performance debugging in the large via mining millions of stack traces	S Han, Y Dang, S Ge, D Zhang, T Xie	64	Proceedings of the 34th International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=12886741551525279874&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	StakeNet: using social networks to analyse the stakeholders of large-scale software projects	SL Lim, D Quercia, A Finkelstein	63	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 295-304	http://scholar.google.com/scholar?oi=bibs&cluster=10284064985409029442&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Dealing with noise in defect prediction	S Kim, H Zhang, R Wu, L Gong	63	Software Engineering (ICSE), 2011 33rd International Conference on, 481-490	http://scholar.google.com/scholar?oi=bibs&cluster=4264256398111048184&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Information needs for software development analytics	RPL Buse, T Zimmermann	62	Proceedings of the 34th International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=12643050587801762773&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2013	It's not a bug, it's a feature: how misclassification impacts bug prediction	K Herzig, S Just, A Zeller	61	Proceedings of the 2013 International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=102338513448182969&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2013	Estimating mobile application energy consumption using program analysis	S Hao, D Li, WGJ Halfond, R Govindan	61	Software Engineering (ICSE), 2013 35th International Conference on, 92-101	http://scholar.google.com/scholar?oi=bibs&cluster=14527406344113127185&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Summarizing software artifacts: a case study of bug reports	S Rastkar, GC Murphy, G Murray	61	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 505-514	http://scholar.google.com/scholar?oi=bibs&cluster=2476309244925739538&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Verifying multi-threaded software using smt-based context-bounded model checking	L Cordeiro, B Fischer	60	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=374015844008463159&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Automated cross-browser compatibility testing	A Mesbah, MR Prasad	60	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=3386225917414093135&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Use, disuse, and misuse of automated refactorings	M Vakilian, N Chen, S Negara, BA Rajkumar, BP Bailey, RE Johnson	59	Software Engineering (ICSE), 2012 34th International Conference on, 233-243	http://scholar.google.com/scholar?oi=bibs&cluster=1837293109275660478&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Recurring bug fixes in object-oriented programs	TT Nguyen, HA Nguyen, NH Pham, J Al-Kofahi, TN Nguyen	59	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 315-324	http://scholar.google.com/scholar?oi=bibs&cluster=18445367603738266782&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Sound empirical evidence in software testing	G Fraser, A Arcuri	59	Proceedings of the 34th International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=7585928613990479635&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2012	Graph-based analysis and prediction for software evolution	P Bhattacharya, M Iliofotou, I Neamtiu, M Faloutsos	58	Proceedings of the 34th International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=12069518373063327634&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Practical change impact analysis based on static program slicing for industrial software systems	M Acharya, B Robinson	57	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=12229681410010874782&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	A degree-of-knowledge model to capture source code familiarity	T Fritz, J Ou, GC Murphy, E Murphy-Hill	57	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 385-394	http://scholar.google.com/scholar?oi=bibs&cluster=16235664543831084264&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Inferring better contracts	Y Wei, CA Furia, N Kazmin, B Meyer	57	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=3345585302451750229&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	An Analysis and Survey of the Development of Mutation Testing	Y Jia, M Harman	463	Software Engineering, IEEE Transactions on 37 (5), 649-678	http://scholar.google.com/scholar?oi=bibs&cluster=7093006449542376691&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	DECOR: A Method for the Specification and Detection of Code and Design Smells	N Moha, YG Guhneuc, L Duchien, AF Le Meur	229	Software Engineering, IEEE Transactions on 36 (1), 20-36	http://scholar.google.com/scholar?oi=bibs&cluster=9973408210133544696&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	A Systematic Review of the Application and Empirical Investigation of Search-Based Test Case Generation	S Ali, LC Briand, H Hemmati, RK Panesar-Walawege	189	Software Engineering, IEEE Transactions on 36 (6), 742-762	http://scholar.google.com/scholar?oi=bibs&cluster=1324447221825342692&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	A Systematic Literature Review on Fault Prediction Performance in Software Engineering	T Hall, S Beecham, D Bowes, D Gray, S Counsell	176	Software Engineering, IEEE Transactions on 38 (6), 1276-1304	http://scholar.google.com/scholar?oi=bibs&cluster=15458380543063990719&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search	M Harman, P McMinn	173	Software Engineering, IEEE Transactions on 36 (2), 226-247	http://scholar.google.com/scholar?oi=bibs&cluster=16678916924423704440&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Dynamic QoS Management and Optimization in Service-Based Systems	R Calinescu, L Grunske, M Kwiatkowska, R Mirandola, G Tamburrelli	169	Software Engineering, IEEE Transactions on 37 (3), 387-409	http://scholar.google.com/scholar?oi=bibs&cluster=1340941291909126762&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Mutation-Driven Generation of Unit Tests and Oracles	G Fraser, A Zeller	157	Software Engineering, IEEE Transactions on 38 (2), 278-292	http://scholar.google.com/scholar?oi=bibs&cluster=11224919882135286018&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	A Classification Framework for Software Component Models	I Crnkovi, S Sentilles, A Vulgarakis, MRV Chaudron	150	Software Engineering, IEEE Transactions on 37 (5), 593-615	http://scholar.google.com/scholar?oi=bibs&cluster=12065189345658343880&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	GenProg: A Generic Method for Automatic Software Repair	CL Goues, TV Nguyen, S Forrest, W Weimer	138	Software Engineering, IEEE Transactions on 38 (1), 54-72	http://scholar.google.com/scholar?oi=bibs&cluster=3418396828694149473&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Efficient Consistency Measurement Based on Behavioral Profiles of Process Models	M Weidlich, J Mendling, M Weske	124	Software Engineering, IEEE Transactions on 37 (3), 410-429	http://scholar.google.com/scholar?oi=bibs&cluster=16991196985128279520&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Software Module Clustering as a Multi-Objective Search Problem	K Praditwong, M Harman, X Yao	111	Software Engineering, IEEE Transactions on 37 (2), 264-282	http://scholar.google.com/scholar?oi=bibs&cluster=14141327013561504506&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	SMT-Based Bounded Model Checking for Embedded ANSI-C Software	L Cordeiro, B Fischer, J Marques-Silva	107	Software Engineering, IEEE Transactions on 38 (4), 957-974	http://scholar.google.com/scholar?oi=bibs&cluster=159187358280273192&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	The Probabilistic Program Dependence Graph and Its Application to Fault Diagnosis	GK Baah, A Podgurski, MJ Harrold	105	Software Engineering, IEEE Transactions on 36 (4), 528-545	http://scholar.google.com/scholar?oi=bibs&cluster=4862653155921832976&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	GUI Interaction Testing: Incorporating Event Context	X Yuan, MB Cohen, AM Memon	103	Software Engineering, IEEE Transactions on 37 (4), 559-574	http://scholar.google.com/scholar?oi=bibs&cluster=8033881498921591127&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Effects of Personality on Pair Programming	JE Hannay, E Arisholm, H Engvik, DIK Sjberg	96	Software Engineering, IEEE Transactions on 36 (1), 61-80	http://scholar.google.com/scholar?oi=bibs&cluster=6497904508086297723&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Exception Handling for Repair in Service-Based Processes	G Friedrich, M Fugini, E Mussi, B Pernici, G Tagni	90	Software Engineering, IEEE Transactions on 36 (2), 198-215	http://scholar.google.com/scholar?oi=bibs&cluster=1680633493854444765&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Empirical Studies of Pair Programming for CS/SE Teaching in Higher Education: A Systematic Literature Review	N Salleh, E Mendes, J Grundy	89	Software Engineering, IEEE Transactions on 37 (4), 509-525	http://scholar.google.com/scholar?oi=bibs&cluster=807458653987105384&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Self-Supervising BPEL Processes	L Baresi, S Guinea	89	Software Engineering, IEEE Transactions on 37 (2), 247-263	http://scholar.google.com/scholar?oi=bibs&cluster=10643602618876474927&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	A General Software Defect-Proneness Prediction Framework	Q Song, Z Jia, M Shepperd, S Ying, SYJ Liu	86	Software Engineering, IEEE Transactions on 37 (3), 356-370	http://scholar.google.com/scholar?oi=bibs&cluster=15331749552163992936&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Evaluation and Measurement of Software Process ImprovementA Systematic Literature Review	M Unterkalmsteiner, T Gorschek, CK Cheng, RB Permadi, R Feldt	84	Software Engineering, IEEE Transactions on 38 (2), 398-424	http://scholar.google.com/scholar?oi=bibs&cluster=17653250403819569327&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Assessing Software Service Quality and Trustworthiness at Selection Time	N Limam, R Boutaba	84	Software Engineering, IEEE Transactions on 36 (4), 559-574	http://scholar.google.com/scholar?oi=bibs&cluster=31409369228186214&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking	S Artzi, A Kieun, J Dolby, F Tip, D Dig, A Paradkar, MD Ernst	81	Software Engineering, IEEE Transactions on 36 (4), 474-494	http://scholar.google.com/scholar?oi=bibs&cluster=17384208009412232455&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2013	Whole Test Suite Generation	G Fraser, A Arcuri	81	Software Engineering, IEEE Transactions on 39 (2), 276-291	http://scholar.google.com/scholar?oi=bibs&cluster=15162551882101008590&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Developing a Single Model and Test Prioritization Strategies for Event-Driven Software	RC Bryce, S Sampath, AM Memon	74	Software Engineering, IEEE Transactions on 37 (1), 48-64	http://scholar.google.com/scholar?oi=bibs&cluster=1001848730408224261&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	MOSES: A Framework for QoS Driven Runtime Adaptation of Service-Oriented Systems	V Cardellini, E Casalicchio, V Grassi, S Iannucci, FL Presti, R Mirandola	74	Software Engineering, IEEE Transactions on 38 (5), 1138-1159	http://scholar.google.com/scholar?oi=bibs&cluster=13227177020312186283&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Exploiting the Essential Assumptions of Analogy-Based Effort Estimation	E Kocaguneli, T Menzies, AB Bener, JW Keung	74	Software Engineering, IEEE Transactions on 38 (2), 425-438	http://scholar.google.com/scholar?oi=bibs&cluster=7026699471245301107&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Invariant-Based Automatic Testing of Modern Web Applications	A Mesbah, A Van Deursen, D Roest	74	Software Engineering, IEEE Transactions on 38 (1), 35-53	http://scholar.google.com/scholar?oi=bibs&cluster=16282703465288571713&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities	Y Shin, A Meneely, L Williams, J Osborne	73	Software Engineering, IEEE Transactions on 37 (6), 772-787	http://scholar.google.com/scholar?oi=bibs&cluster=6243338258577593165&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Generating Event Sequence-Based Test Cases Using GUI Runtime State Feedback	X Yuan, AM Memon	71	Software Engineering, IEEE Transactions on 36 (1), 81-95	http://scholar.google.com/scholar?oi=bibs&cluster=15466274681289128472&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Data Mining Techniques for Software Effort Estimation: A Comparative Study	K Dejaeger, W Verbeke, D Martens, B Baesens	71	Software Engineering, IEEE Transactions on 38 (2), 375-397	http://scholar.google.com/scholar?oi=bibs&cluster=15788016837227472931&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Exception Handling Patterns for Process Modeling	BS Lerner, S Christov, LJ Osterweil, R Bendraou, U Kannengiesser, ...	70	Software Engineering, IEEE Transactions on 36 (2), 162-183	http://scholar.google.com/scholar?oi=bibs&cluster=12646640468570410656&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies	I Malavolta, H Muccini, P Pelliccione, DA Tamburri	69	Software Engineering, IEEE Transactions on 36 (1), 119-140	http://scholar.google.com/scholar?oi=bibs&cluster=5070516884139563361&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2011	The Awareness Network, To Whom Should I Display My Actions? And, Whose Actions Should I Monitor?	CRB De Souza, DF Redmiles	69	Software Engineering, IEEE Transactions on 37 (3), 325-340	http://scholar.google.com/scholar?oi=bibs&cluster=17288670133463215686&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2012	Scalable Differential Analysis of Process Algebra Models	M Tribastone, S Gilmore, J Hillston	69	Software Engineering, IEEE Transactions on 38 (1), 205-219	http://scholar.google.com/scholar?oi=bibs&cluster=8668640033744782581&btnI=1&nossl=1&hl=en&oe=ASCII
IEEE Transactions on Software Engineering	2010	The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments	H Do, S Mirarab, L Tahvildari, G Rothermel	66	Software Engineering, IEEE Transactions on 36 (5), 593-617	http://scholar.google.com/scholar?oi=bibs&cluster=8713524358013872968&btnI=1&nossl=1&hl=en&oe=ASCII
