Conference	Year	Name	Authors	Citations	Publication	URL
International Conference on Software Engineering	2011	A practical guide for using statistical tests to assess randomized algorithms in software engineering	A Arcuri, L Briand	217	Software Engineering (ICSE), 2011 33rd International Conference on, 1-10	http://scholar.google.com/scholar?oi=bibs&cluster=15086517004316592566&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Model checking lots of systems: efficient verification of temporal properties in software product lines	A Classen, P Heymans, PY Schobbens, A Legay, JF Raskin	190	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 335-344	http://scholar.google.com/scholar?oi=bibs&cluster=15540795667193516505&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Reverse engineering feature models	S She, R Lotufo, T Berger, A Wsowski, K Czarnecki	163	Software Engineering (ICSE), 2011 33rd International Conference on, 461-470	http://scholar.google.com/scholar?oi=bibs&cluster=11434010904346721240&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Collaborative reliability prediction of service-oriented systems	Z Zheng, MR Lyu	158	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 35-44	http://scholar.google.com/scholar?oi=bibs&cluster=1642572852479442510&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Empirical assessment of MDE in industry	J Hutchinson, J Whittle, M Rouncefield, S Kristoffersen	157	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=10237339238593310627&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Symbolic execution for software testing in practice: preliminary assessment	C Cadar, P Godefroid, S Khurshid, CS Psreanu, K Sen, N Tillmann, ...	147	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=7251075222347219804&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Software traceability with topic modeling	HU Asuncion, AU Asuncion, RN Taylor	144	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 95-104	http://scholar.google.com/scholar?oi=bibs&cluster=16080167455902429154&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	Codebook: discovering and exploiting relationships in software repositories	A Begel, YP Khoo, T Zimmermann	141	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 125-134	http://scholar.google.com/scholar?oi=bibs&cluster=15664003172203863957&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	An analysis of the variability in forty preprocessor-based software product lines	J Liebig, S Apel, C Lengauer, C Kastner, M Schulze	131	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 105-114	http://scholar.google.com/scholar?oi=bibs&cluster=3589439399277352227&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2011	Symbolic model checking of software product lines	A Classen, P Heymans, PY Schobbens, A Legay	129	Proceedings of the 33rd International Conference on Software Engineering ...	http://scholar.google.com/scholar?oi=bibs&cluster=12490067642316059077&btnI=1&nossl=1&hl=en&oe=ASCII
International Conference on Software Engineering	2010	A discriminative model approach for accurate duplicate bug report retrieval	C Sun, D Lo, X Wang, J Jiang, SC Khoo	115	Software Engineering, 2010 ACM/IEEE 32nd International Conference on 1, 45-54	http://scholar.google.com/scholar?oi=bibs&cluster=13164241601423457729&btnI=1&nossl=1&hl=en&oe=ASCII
